"Ordre";"Anyo";"IdMaterial";"NomMaterial";"Quantitat";"Unitats"
"714";"2007";"39";"Sòlids i Pastosos";"";"Tones"
"715";"2008";"39";"Sòlids i Pastosos";"42";"Tones"
"716";"2009";"39";"Sòlids i Pastosos";"58";"Tones"
"717";"2010";"39";"Sòlids i Pastosos";"57";"Tones"
"718";"2011";"39";"Sòlids i Pastosos";"45";"Tones"
"719";"2012";"39";"Sòlids i Pastosos";"20";"Tones"
"720";"2014";"39";"Sòlids i Pastosos";"33";"Tones"
"721";"2017";"39";"Sòlids i Pastosos";"39";"Tones"
"722";"2001";"40";"Medicaments";"8";"Tones"
"723";"2002";"40";"Medicaments";"11";"Tones"
"724";"2003";"40";"Medicaments";"8";"Tones"
"725";"2004";"40";"Medicaments";"8";"Tones"
"726";"2005";"40";"Medicaments";"13";"Tones"
"727";"2006";"40";"Medicaments";"11";"Tones"
"728";"2007";"40";"Medicaments";"13";"Tones"
"729";"2008";"40";"Medicaments";"15";"Tones"
"730";"2009";"40";"Medicaments";"18";"Tones"
"731";"2010";"40";"Medicaments";"19";"Tones"
"732";"2008";"41";"Porexpan";"4";"Tones"
"733";"2009";"41";"Porexpan";"24";"Tones"
"734";"2010";"41";"Porexpan";"9";"Tones"
"735";"2011";"41";"Porexpan";"14";"Tones"
"736";"2012";"41";"Porexpan";"1";"Tones"
"737";"2013";"41";"Porexpan";"1";"Tones"
"738";"2014";"41";"Porexpan";"1";"Tones"
"739";"2015";"41";"Porexpan";"10";"Tones"
"740";"2016";"41";"Porexpan";"0";"Tones"
"741";"2017";"41";"Porexpan";"1";"Tones"
"742";"2008";"42";"Radiografies";"1";"Tones"
"743";"2012";"42";"Radiografies";"1";"Tones"
"744";"2013";"42";"Radiografies";"0";"Tones"
"745";"2015";"42";"Radiografies";"0";"Tones"
"746";"2017";"42";"Radiografies";"0";"Tones"
"747";"2008";"43";"Plàstic rígid";"36";"Tones"
"748";"2009";"43";"Plàstic rígid";"126";"Tones"
"749";"2010";"43";"Plàstic rígid";"113";"Tones"
"750";"2011";"43";"Plàstic rígid";"102";"Tones"
"751";"2012";"43";"Plàstic rígid";"70";"Tones"
"752";"2013";"43";"Plàstic rígid";"86";"Tones"
"753";"2014";"43";"Plàstic rígid";"45";"Tones"
"754";"2015";"43";"Plàstic rígid";"33";"Tones"
"755";"2016";"43";"Plàstic rígid";"44";"Tones"
"756";"2017";"43";"Plàstic rígid";"43";"Tones"
"757";"2009";"44";"Cd i DVD";"0";"Tones"
"758";"2010";"44";"Cd i DVD";"2";"Tones"
"759";"2012";"44";"Cd i DVD";"1";"Tones"
"760";"2013";"44";"Cd i DVD";"1";"Tones"
"761";"2014";"44";"Cd i DVD";"1";"Tones"
"762";"2017";"44";"Cd i DVD";"1";"Tones"
"763";"2011";"45";"Cartró";"52";"Tones"
"764";"2012";"45";"Cartró";"20";"Tones"
"765";"2016";"46";"RAEE FRA (A1) Grans aparells d'intercanvi de temperatura, frigotrifics, aire acondicionat...";"5";"Tones"
"766";"2017";"46";"RAEE FRA (A1) Grans aparells d'intercanvi de temperatura, frigotrifics, aire acondicionat...";"39";"Tones"
"767";"2016";"47";"RAEE FRA 2 (A3) Monitors i pantalles LED, CRT i altres";"13";"Tones"
"768";"2017";"47";"RAEE FRA 2 (A3) Monitors i pantalles LED, CRT i altres";"51";"Tones"
"769";"2016";"48";"RAEE FRA 3 (A5) Lampares i fluorescents";"1";"Tones"
"770";"2017";"48";"RAEE FRA 3 (A5) Lampares i fluorescents";"2";"Tones"
"771";"2016";"49";"RAEE FRA 4 (A2) Altres aparells amb tamany superior a 50 cm no inclosos en FRA 1";"4";"Tones"
"772";"2017";"49";"RAEE FRA 4 (A2) Altres aparells amb tamany superior a 50 cm no inclosos en FRA 1";"41";"Tones"
"773";"2016";"50";"RAEE FRA 5 (A4) Petits aparells sense dimensió superior a 50 cm";"6";"Tones"
"774";"2017";"50";"RAEE FRA 5 (A4) Petits aparells sense dimensió superior a 50 cm";"34";"Tones"
"775";"2016";"51";"RAEE FRA 6 (A4) Aparells petits d'informàtica i telecomunicacions ";"4";"Tones"
"776";"2017";"51";"RAEE FRA 6 (A4) Aparells petits d'informàtica i telecomunicacions ";"27";"Tones"
"777";"2011";"45";"Cartró";"52";"Tones"
"778";"2012";"45";"Cartró";"20";"Tones"
"779";"2016";"46";"RAEE FRA (A1) Grans aparells d'intercanvi de temperatura, frigotrifics, aire acondicionat...";"5";"Tones"
"780";"2017";"46";"RAEE FRA (A1) Grans aparells d'intercanvi de temperatura, frigotrifics, aire acondicionat...";"39";"Tones"
"781";"2016";"47";"RAEE FRA 2 (A3) Monitors i pantalles LED, CRT i altres";"13";"Tones"
"782";"2017";"47";"RAEE FRA 2 (A3) Monitors i pantalles LED, CRT i altres";"51";"Tones"
"783";"2016";"48";"RAEE FRA 3 (A5) Lampares i fluorescents";"1";"Tones"
"784";"2017";"48";"RAEE FRA 3 (A5) Lampares i fluorescents";"2";"Tones"
"785";"2016";"49";"RAEE FRA 4 (A2) Altres aparells amb tamany superior a 50 cm no inclosos en FRA 1";"4";"Tones"
"786";"2017";"49";"RAEE FRA 4 (A2) Altres aparells amb tamany superior a 50 cm no inclosos en FRA 1";"41";"Tones"
"787";"2016";"50";"RAEE FRA 5 (A4) Petits aparells sense dimensió superior a 50 cm";"6";"Tones"
"788";"2017";"50";"RAEE FRA 5 (A4) Petits aparells sense dimensió superior a 50 cm";"34";"Tones"
"789";"2016";"51";"RAEE FRA 6 (A4) Aparells petits d'informàtica i telecomunicacions ";"4";"Tones"
"790";"2017";"51";"RAEE FRA 6 (A4) Aparells petits d'informàtica i telecomunicacions ";"27";"Tones"
"791";"2016";"51";"RAEE FRA 6 (A4) Aparells petits d'informàtica i telecomunicacions ";"4";"Tones"
"792";"2017";"51";"RAEE FRA 6 (A4) Aparells petits d'informàtica i telecomunicacions ";"27";"Tones"
"793";"2008";"7";"Resta";"71766";"Tones"
"794";"1994";"25";"Olis vegetals";"";"Tones"
"795";"2011";"16";"Piles";"9";"Tones"
"796";"2003";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"";"Tones"
